gene,description.x,F2.28_concat,F2.73,F2.127,Elite_2020.x,PI127826_2020.x,log2ratio_P28,log2ratio_P73,log2ratio_P127,pval_P28,pval_P73,pval_P127
Solyc00g050430.2.1,BHLH transcription factor (A9YWR2_MEDTR),87.3449194544033,62.9091680534073,13.7026760240075,848.219893664269,182.85731181181,-3.27964262525753,-3.75309613110024,-5.95190874675667,0.0132231507741382,0.0382367818841557,0.0020524485432498
Solyc00g136260.1.1,Ring H2 finger protein (D9ZHD8_HYPPE),36.291198928238,56.7929989371038,19.5752514628679,2.14196942844512,10.6004238731484,4.08260992467925,4.72870330056552,3.19202104615271,0.00322482573973849,0.00507742581663614,0.0439676205031541
Solyc00g272810.1.1,N-acetyltransferase (B6SUK9_MAIZE),5.53594559922275,1.74747689037242,1.95752514628679,312.727536552988,18.5507417780097,-5.8199326821203,-7.48348907134296,-7.31973160761468,4.33027973114739e-05,0.000116068762875446,0.000189307702150901
Solyc00g282510.1.1,Phenylalanine ammonia-lyase (B5LAW0_CAPAN),178.995574374869,126.692074552001,614.662895934051,10.7098471422256,341.863669909036,4.06291412333833,3.56431648266464,5.84278560526961,0.00335631151069356,0.0241662137345779,0.0012104660957116
Solyc01g006420.2.1,Unknown Protein,5785.06315118777,3.49495378074485,0.978762573143394,62.1171134249086,2241.98964917089,6.54119810860039,-4.15164550759051,-5.98788804386223,6.07471039577067e-06,0.0241028159015717,0.00193854117692059
Solyc01g006580.2.1,2-oxoglutarate-dependent dioxygenase (B9GL08_POPTR),899.283607340406,1022.27398086787,482.529948559693,14.9937859991159,145.75582825579,5.90633954921223,6.09127337995022,5.00818186558564,3.93055691292377e-05,0.000541468729873206,0.00445682676955549
Solyc01g007000.2.1,U-box domain-containing protein (D7LU64_ARALY),168.538788243004,9.61112289704833,22.5115391822981,1077.4106225079,143.105722287503,-2.6764156315276,-6.80864748363118,-5.58075968248318,0.0347972697994347,0.000425372757523506,0.00363482590550864
Solyc01g007010.2.1,U-box domain-containing protein (D7LU64_ARALY),90.4204447873049,7.86364600667591,14.6814385971509,1567.92162162183,108.654344699771,-4.11606061813027,-7.63943934930467,-6.73871629141018,0.00270765703130968,8.46055062074248e-05,0.000549702511053584
Solyc01g007020.2.1,U-box domain-containing protein (D7LU64_ARALY),88.5751295875639,15.7272920133518,27.405352048015,5682.64489366491,445.217802672233,-6.00351708346898,-8.49714847124933,-7.69596108690575,2.57605021745799e-05,1.33388039167833e-05,9.09709708011579e-05
Solyc01g007030.2.1,U-box domain-containing protein (D7LU64_ARALY),86.729814387823,20.0959842392829,50.8956538034565,1422.26770048756,108.654344699771,-4.03552120363073,-6.14514198775285,-4.80450676194049,0.00319419177541027,0.00136741998512778,0.0108456190600853
Solyc01g008050.2.1,Leaf senescence protein-like (Q67V91_ORYSJ),31.9854634621759,1.74747689037242,11.7451508777207,203.487095702287,45.0518014608807,-2.66944901487245,-6.8635201207939,-4.11480015634446,0.0351585442507908,0.00038435201640553,0.0255555761183892
Solyc01g008500.2.1,Receptor serine/threonine kinase (O49202_ORYSJ),2625.88352923132,1308.86019088895,1718.7070784398,137.086043420488,3731.34920334824,4.25964932256504,3.25515739599581,3.6481700808007,0.00223540823478836,0.0346723043137999,0.0265144203562071
Solyc01g008670.2.1,Cytochrome P450,277942.60559511,2095.22479155654,1080.55388075031,26221.9897430252,205899.983206066,3.4059379334948,-3.64560022185528,-4.60093424476305,0.0116150438871842,0.0430357842534736,0.014123205213408
