"target_id"	"annotation"	"localisation"	"log2FoldChange"	"padj"
"Solyc11g010450"	"ATP-dependent phosphofructokinase"	"plastid"	0.637718286535487	0.939139676767556
"Solyc04g014270"	"ATP-dependent phosphofructokinase"	"plastid"	-0.50676277642583	0.854892230368171
"Solyc02g084440"	"fructose-1,6-bisphosphate aldolase"	"plastid"	0.599386819601749	0.917969606625954
"Solyc02g062340"	"fructose-1,6-bisphosphate aldolase"	"plastid"	0.307545427308261	0.998227020487924
"Solyc05g008600"	"fructose-1,6-bisphosphate aldolase"	"plastid"	-0.493074828074415	0.936559906639513
"Solyc01g110360"	"fructose-1,6-bisphosphate aldolase"	"plastid"	0.885394535841065	0.973391133489153
"Solyc10g054870"	"triosephosphate isomerase"	"plastid"	-0.477655546911274	0.998227020487924
"Solyc01g111120"	"triosephosphate isomerase"	"plastid"	-0.145812693116644	0.998227020487924
"Solyc10g005510"	"glyceraldehyde 3-phosphate dehydrogenase"	"plastid"	-0.0198054022793067	0.998227020487924
"Solyc07g066610"	"phosphoglycerate kinase"	"plastid"	-0.176069299539866	0.998227020487924
"Solyc04g072800"	"phosphoglycerate mutase"	"plastid"	-1.4946600278684	NA
"Solyc04g054820"	"phosphoglycerate mutase"	"plastid"	0.49934399191951	0.881063818987081
"Solyc03g114500"	"enolase"	"plastid"	-0.509661918585421	0.967155066021799
"Solyc01g106780"	"pyruvate kinase"	"plastid"	-0.297090552197875	0.998227020487924
"Solyc03g007810"	"pyruvate kinase"	"plastid"	-0.15815761575107	0.998227020487924
"Solyc08g077180"	"pyruvate kinase"	"plastid"	-0.941408679757867	0.750830887883897
"Solyc09g082970"	"pyruvate kinase"	"plastid"	0.453602324856548	0.982228524678576
"Solyc12g095880"	"ATP-dependent phosphofructokinase"	"cytosol"	-0.865176552018892	0.729248890076042
"Solyc07g045160"	"ATP-dependent phosphofructokinase"	"cytosol"	0.591426434692148	0.968618501449401
"Solyc03g093520"	"ATP-dependent phosphofructokinase"	"cytosol"	-0.445541825709285	0.731368028640399
"Solyc07g049280"	"pyrophosphate-dependent phosphofructokinase"	"cytosol"	-0.701286001086658	0.843901522914037
"Solyc02g081160"	"pyrophosphate-dependent phosphofructokinase"	"cytosol"	-0.255604895449503	0.997375668264609
"Solyc04g082880"	"pyrophosphate-dependent phosphofructokinase"	"cytosol"	-0.0580940861743023	0.998227020487924
"Solyc12g095760"	"pyrophosphate-dependent phosphofructokinase"	"cytosol"	-0.898171541822478	0.109458490966512
"Solyc07g065900"	"aldolase"	"cytosol"	-0.290941481521997	0.998227020487924
"Solyc10g083570"	"aldolase"	"cytosol"	-0.471327675547046	0.989080552008891
"Solyc09g009260"	"aldolase"	"cytosol"	-0.999316628698191	0.89937275584283
"Solyc06g005490"	"triosephosphate isomerase"	"cytosol"	0.699908906522558	0.976421381749052
"Solyc04g011510"	"triosephosphate isomerase"	"cytosol"	-0.853182280759691	0.706411611476048
"Solyc05g014470"	"NAD-dependent glyceraldehyde 3-phosphate dehydrogenase"	"cytosol"	-0.442723771629783	0.982228524678576
"Solyc06g071920"	"NAD-dependent glyceraldehyde 3-phosphate dehydrogenase"	"cytosol"	0.246677203977726	0.998227020487924
"Solyc03g111010"	"NAD-dependent glyceraldehyde 3-phosphate dehydrogenase"	"cytosol"	-0.301621376583201	0.997375668264609
"Solyc07g005390"	"NADP-dependent glyceraldehyde 3-phosphate dehydrogenase"	"cytosol"	-0.595914238932057	0.978812643079835
"Solyc07g066600"	"phosphoglycerate kinase"	"cytosol"	-0.222598267024444	0.998227020487924
"Solyc01g098590"	"phosphoglycerate mutase"	"cytosol"	0.953477856404754	0.989080552008891
"Solyc08g081390"	"phosphoglycerate mutase"	"cytosol"	0.0627598202750857	0.998227020487924
"Solyc10g045430"	"phosphoglycerate mutase"	"cytosol"	-0.0275432641769817	0.998227020487924
"Solyc01g098580"	"phosphoglycerate mutase"	"cytosol"	0.628804847889685	0.998227020487924
"Solyc06g076650"	"enolase"	"cytosol"	-0.926405491294536	0.779921845174467
"Solyc04g008740"	"pyruvate kinase"	"cytosol"	-0.508270126113921	0.839363942408636
"Solyc01g049650"	"pyruvate kinase"	"cytosol"	-0.617359516688482	0.738849333160781
